"","yearid","year_1b","year_2","id_1b","id_2","coninc_1b","coninc_2","race_1b","sexnow_1b","sexnow1_2","affrmact_norm1b","gunlaw_norm1b","partyid_norm1b","affrmact_norm2","gunlaw_norm2","partyid_norm2"
"1",20180001,2018,2020,1,810,NA,36960,1,NA,1,1,0,0.833333333333333,1,0,1
"2",20180006,2018,2020,6,815,NA,25200,1,NA,2,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0.333333333333333
"3",20180011,2018,2020,11,819,112160,94080,1,NA,1,1,0,1,1,0,1
"4",20180016,2018,2020,16,822,47317.5,15960,1,NA,2,0.666666666666667,0,0.5,1,0,0.5
"5",20180063,2018,2020,63,836,38555,NA,2,NA,2,0.333333333333333,0,0,0,0,0
"6",20180064,2018,2020,64,837,26287.5,1344,2,NA,2,0.666666666666667,0,0,NA,0,0
"7",20180066,2018,2020,66,838,14896.25,18480,2,NA,1,0.333333333333333,0,0.333333333333333,0.666666666666667,1,0.666666666666667
"8",20180069,2018,2020,69,839,98140,94080,2,NA,2,0.333333333333333,0,0,0.333333333333333,0,0
"9",20180073,2018,2020,73,842,47317.5,NA,3,NA,2,1,0,0.5,0.666666666666667,0,0.5
"10",20180081,2018,2020,81,844,70100,55440,2,NA,2,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333
"11",20180092,2018,2020,92,850,84120,80640,1,NA,2,0.333333333333333,0,0,0.333333333333333,0,0
"12",20180122,2018,2020,122,861,57832.5,36960,1,NA,2,0.666666666666667,1,0.5,1,0,0.833333333333333
"13",20180129,2018,2020,129,864,98140,168736.29696,1,NA,1,0.666666666666667,0,0.166666666666667,1,0,0.333333333333333
"14",20180132,2018,2020,132,866,26287.5,36960,1,NA,2,0.666666666666667,0,0.166666666666667,1,0,0.333333333333333
"15",20180140,2018,2020,140,870,22782.5,30240,1,NA,2,0.666666666666667,0,0.666666666666667,0.666666666666667,1,0.166666666666667
"16",20180149,2018,2020,149,874,47317.5,NA,1,NA,1,1,0,0.5,1,1,0.5
"17",20180157,2018,2020,157,876,19277.5,30240,1,NA,2,1,0,0.833333333333333,0.666666666666667,0,0.166666666666667
"18",20180165,2018,2020,165,879,2453.5,21840,1,NA,2,0.666666666666667,0,0.5,0.666666666666667,0,0.5
"19",20180177,2018,2020,177,886,158201.84123,168736.29696,1,NA,2,0.666666666666667,0,0,0,0,0
"20",20180180,2018,2020,180,888,9638.75,1344,1,NA,1,0.666666666666667,0,0.5,0.666666666666667,0,0.5
"21",20180188,2018,2020,188,890,84120,80640,3,NA,1,1,0,0.166666666666667,1,0,0.166666666666667
